Date and Time, Water Temperature, Wind Speed, Wind Direction, Gust, Wave Height, Wave Direction, Wave Period, Visibility, Direction of Current, Speed of Current, Air Temperature
"2022-12-27T01:00:00+00:00",9.25,5.66,266.29,8.11,0.77,222.3,3.61,24.14,254.23,0.22,6.69
"2022-12-27T02:00:00+00:00",9.25,5.06,264.56,7.57,0.85,225.6,3.52,24.14,254.3,0.23,6.84
"2022-12-27T03:00:00+00:00",9.25,4.47,262.83,7.28,0.96,229.6,3.53,24.14,254.25,0.24,6.86
"2022-12-27T04:00:00+00:00",9.25,4.46,255.12,5.81,1.07,232.2,3.63,24.14,254.13,0.25,7.06
"2022-12-27T06:00:00+00:00",9.26,4.44,239.69,4.87,1.32,233.1,3.94,24.13,253.21,0.26,7.31
"2022-12-27T07:00:00+00:00",9.26,5.41,235.52,8.18,1.47,231.7,4.12,24.13,252.52,0.27,7.55
"2022-12-27T09:00:00+00:00",9.27,7.35,227.17,12.34,1.69,227,4.4,24.13,251.57,0.27,8.52
"2022-12-27T10:00:00+00:00",9.27,8.01,224.52,14.17,1.75,224.5,4.46,23.73,251.02,0.26,9.06
"2022-12-27T12:00:00+00:00",9.28,9.33,219.21,17.51,1.81,220.8,4.49,24.13,250.61,0.26,9.6
"2022-12-27T13:00:00+00:00",9.28,9.62,218.89,18.5,1.84,220.2,4.52,24.14,250.65,0.25,9.75
"2022-12-27T15:00:00+00:00",9.29,10.21,218.24,20.19,1.94,223.7,4.68,24.14,251.04,0.25,9.96
"2022-12-27T16:00:00+00:00",9.29,10.39,220.31,20.62,1.98,225.9,4.77,24.14,251.26,0.25,10.11
"2022-12-27T18:00:00+00:00",9.3,10.75,224.44,21.2,2.03,228.2,4.86,24.13,251.79,0.25,10.2
"2022-12-27T19:00:00+00:00",9.3,11.19,224.12,21.32,2.05,227.6,4.88,24.13,252.06,0.25,10.24
"2022-12-27T21:00:00+00:00",9.3,12.06,223.49,23.47,2.14,223.9,4.94,24.14,252.54,0.25,9.87
"2022-12-27T22:00:00+00:00",9.3,12.14,224.41,23.8,2.18,221.3,4.98,22.7,252.53,0.25,10.44
