Date and Time, Water Temperature, Wind Speed, Wind Direction, Gust, Wave Height, Wave Direction, Wave Period, Visibility, Direction of Current, Speed of Current, Air Temperature
"2023-12-01T01:00:00+00:00",10.58,6.46,18.88,9.6,1.22,1.29,3.74,24.14,67.34,0.1,2.13
"2023-12-01T02:00:00+00:00",10.56,6.29,18.07,9.08,1.02,24.14,3.45,24.14,67.58,0.09,1.87
"2023-12-01T03:00:00+00:00",10.54,6.12,17.27,9.02,0.82,46.99,3.16,24.13,69.46,0.08,1.76
"2023-12-01T04:00:00+00:00",10.52,5.98,15.34,8.98,0.8,41.85,3.12,24.14,72.87,0.08,1.55
"2023-12-01T06:00:00+00:00",10.49,5.7,11.47,9.17,0.77,31.57,3.05,24.14,79.09,0.07,1.37
"2023-12-01T07:00:00+00:00",10.48,5.58,11.16,8.86,0.75,27.05,3.03,24.14,79.77,0.08,1.29
"2023-12-01T09:00:00+00:00",10.46,5.33,10.53,8.34,0.72,18.01,2.99,24.14,80.52,0.09,1.46
"2023-12-01T10:00:00+00:00",10.47,5.34,9.79,8.62,0.71,15.97,2.98,24.14,79.08,0.09,1.82
"2023-12-01T12:00:00+00:00",10.45,5.36,8.31,10.62,0.7,11.88,2.97,24.13,70.31,0.08,3.03
"2023-12-01T13:00:00+00:00",10.47,5.51,14.74,10.02,0.68,10.79,2.93,24.13,74.53,0.1,4.14
"2023-12-01T15:00:00+00:00",10.44,5.81,27.61,8.07,0.63,8.6,2.86,24.14,71.7,0.05,4.24
"2023-12-01T16:00:00+00:00",10.43,5.62,31.41,6.41,0.63,7.84,2.84,24.14,76.6,0.06,3.76
"2023-12-01T18:00:00+00:00",10.41,4.69,30.16,7.42,0.63,6.32,2.8,24.13,79.89,0.06,2.94
"2023-12-01T19:00:00+00:00",10.4,4.68,23.71,7.52,0.6,6.78,2.79,24.13,79.57,0.06,2.78
"2023-12-01T21:00:00+00:00",10.37,4.67,10.8,6.72,0.54,7.7,2.77,24.13,73.59,0.06,2.28
"2023-12-01T22:00:00+00:00",10.36,4.78,8.31,6.61,0.5,7.92,2.74,24.13,68.07,0.05,2
"2023-12-02T01:00:00+00:00",10.31,5.03,3.68,7.07,0.37,7.95,2.7,24.14,66.87,0.03,1.38
"2023-12-02T02:00:00+00:00",10.3,5.08,4.03,7.16,0.32,7.53,2.71,24.14,69.87,0.03,1.1
"2023-12-02T03:00:00+00:00",10.29,5.12,4.37,7.2,0.28,7.12,2.72,24.14,75.75,0.02,0.47
"2023-12-02T04:00:00+00:00",10.28,4.94,3.12,7.18,0.26,8.74,2.83,24.14,80.56,0.02,0.01
"2023-12-02T06:00:00+00:00",10.26,4.57,0.61,7.56,0.21,11.97,3.04,24.14,75.91,0.02,-0.2
"2023-12-02T07:00:00+00:00",10.25,3.87,357.29,7.24,0.2,14.65,3.23,24.14,73.04,0.02,-0.18
"2023-12-02T09:00:00+00:00",10.24,2.46,350.64,6.56,0.19,20.01,3.6,24.13,59.96,0.02,-0.18
"2023-12-02T10:00:00+00:00",10.24,1.98,336.67,5.72,0.18,19.02,3.58,24.14,50.8,0.02,0.16
"2023-12-02T12:00:00+00:00",10.21,1.03,308.74,2.99,0.17,17.05,3.54,24.14,23.35,0.02,1.44
"2023-12-02T13:00:00+00:00",10.18,1.26,289.57,2.41,0.2,320.19,3.16,24.14,351.12,0.02,2.1
"2023-12-02T15:00:00+00:00",10.12,1.73,251.22,2.42,0.27,206.47,2.4,24.13,290.84,0.02,3.12
"2023-12-02T16:00:00+00:00",10.13,1.44,229.18,1.79,0.31,204.4,2.53,24.13,264.69,0.02,3.24
"2023-12-02T18:00:00+00:00",10.14,1.81,234.2,1.47,0.4,200.25,2.79,24.13,240.32,0.03,3.02
"2023-12-02T19:00:00+00:00",10.19,2.37,223.22,1.93,0.42,199.75,2.74,24.13,241.75,0.04,3.35
"2023-12-02T21:00:00+00:00",10.21,3.5,201.26,5.55,0.47,198.74,2.63,24.14,250.11,0.05,4.89
"2023-12-02T22:00:00+00:00",10.2,5.26,200.53,9.62,0.49,214.38,2.65,24.14,253.03,0.06,5.37
"2023-12-03T01:00:00+00:00",10.15,8.96,196.56,15.31,0.49,253.51,2.67,24.14,256.55,0.09,7.06
"2023-12-03T02:00:00+00:00",10.14,9.13,194.05,15.43,0.45,261.34,2.67,24.14,254.48,0.1,7.11
"2023-12-03T03:00:00+00:00",10.12,9.31,191.55,16.35,0.42,269.18,2.66,24.14,257.34,0.1,6.77
"2023-12-03T04:00:00+00:00",10.1,9.16,196.57,17.99,0.39,266.12,2.65,16.46,260.09,0.1,6.84
"2023-12-03T06:00:00+00:00",10.03,8.85,206.62,18.65,0.33,259.99,2.63,1.11,257.05,0.14,7.61
"2023-12-03T07:00:00+00:00",10.01,8.67,211.09,16.22,0.31,259.74,2.63,7.32,261.13,0.16,8.23
"2023-12-03T09:00:00+00:00",9.97,8.31,220.03,12.84,0.28,259.23,2.62,21.78,259.73,0.17,8.9
"2023-12-03T10:00:00+00:00",9.95,7.95,224.77,12.8,0.27,259.05,2.57,16.61,259.78,0.17,9.06
"2023-12-03T12:00:00+00:00",9.92,7.23,234.24,12.28,0.25,258.68,2.47,6.27,259.45,0.17,9.06
"2023-12-03T13:00:00+00:00",9.91,6.93,235.52,13.09,0.26,256.67,2.39,11.28,259.01,0.19,9.01
"2023-12-03T15:00:00+00:00",9.87,6.32,238.09,13.35,0.29,252.65,2.23,21.29,257.18,0.21,9.21
"2023-12-03T16:00:00+00:00",9.85,6.06,229.43,11.68,0.31,245.29,2.29,16.54,254.92,0.2,9
"2023-12-03T18:00:00+00:00",9.83,8.64,196.82,14.82,0.36,230.57,2.41,7.04,251.94,0.18,9.32
"2023-12-03T19:00:00+00:00",9.82,9.21,191.64,16.68,0.44,218.27,2.5,7.44,251.91,0.17,9.38
