Date and Time, Water Temperature, Wind Speed, Wind Direction, Gust, Wave Height, Wave Direction, Wave Period, Visibility, Direction of Current, Speed of Current, Air Temperature
"2022-06-23T02:00:00+00:00",18.01,3.69,45.59,5.41,0.22,128.9,2.65,24.14,270,0.03,15.31
"2022-06-23T03:00:00+00:00",18.03,3.64,42.13,4.75,0.19,135.9,2.61,24.14,270,0.01,15.05
"2022-06-23T04:00:00+00:00",18.05,3.57,45.26,4.73,0.17,144.9,2.63,24.14,90,0.05,15.04
"2022-06-23T06:00:00+00:00",18.09,3.43,51.53,5.44,0.17,159.9,2.78,24.13,90,0.07,16.1
"2022-06-23T07:00:00+00:00",18.11,3.72,67.56,5.26,0.18,160.5,2.77,24.13,90,0.06,17.16
"2022-06-23T09:00:00+00:00",18.15,4.29,99.61,6.68,0.21,148.8,2.69,24.13,270,0.03,20.18
"2022-06-23T10:00:00+00:00",18.16,4.05,104.06,6.34,0.22,147.2,2.86,24.13,270,0.04,19.71
"2022-06-23T13:00:00+00:00",18.22,3.39,135.13,3.42,0.24,145.5,3.3,24.14,270,0.03,18.14
"2022-06-23T15:00:00+00:00",18.25,3.56,162.6,7.37,0.2,150,2.93,24.14,270,0.02,17.79
"2022-06-23T16:00:00+00:00",18.26,3.59,167.48,6.69,0.19,156.1,2.68,24.14,90,0.03,17.48
"2022-06-23T18:00:00+00:00",18.29,3.64,177.25,6.17,0.22,152.6,2.55,24.14,90,0.07,17.32
"2022-06-23T19:00:00+00:00",18.3,4.13,186.61,5.59,0.25,151.3,2.65,24.14,306.61,0.08,16.94
"2022-06-23T21:00:00+00:00",18.32,5.1,205.34,6.18,0.27,156.7,2.94,24.14,270,0.04,16.14
"2022-06-23T22:00:00+00:00",18.33,5.16,206.08,6.25,0.25,160.8,3.06,24.13,270,0.07,15.98
"2022-06-24T02:00:00+00:00",18.61,5.23,214.51,7.16,0.15,207.6,3.52,24.13,270,0.06,15.51
"2022-06-24T03:00:00+00:00",18.6,5.21,217.99,7.2,0.14,213.2,3.97,24.13,270,0.04,15.43
"2022-06-24T04:00:00+00:00",18.59,5.1,212.74,7.35,0.13,216.8,4.38,24.13,270,0.02,15.41
"2022-06-24T06:00:00+00:00",18.58,4.89,202.23,7.38,0.12,220.2,5.45,24.14,90,0.07,16.08
"2022-06-24T07:00:00+00:00",18.57,5.29,201.06,8.25,0.13,221.7,5.98,24.14,90,0.08,16.6
"2022-06-24T09:00:00+00:00",18.56,5.61,204.96,9.99,0.14,228.2,6.55,24.14,270,0.01,16.83
"2022-06-24T10:00:00+00:00",18.55,5.43,203.56,9.94,0.13,231.7,6.69,24.14,270,0.08,16.85
"2022-06-24T13:00:00+00:00",18.53,5.12,204.75,9.58,0.13,233.8,6.65,24.14,270,0.06,17.71
"2022-06-24T15:00:00+00:00",18.52,5.19,212.74,9.67,0.12,229.7,6.24,24.14,270,0.04,17.5
"2022-06-24T16:00:00+00:00",18.51,4.79,193.97,9.45,0.12,227.6,5.23,24.14,270,0.03,17.55
"2022-06-24T18:00:00+00:00",18.5,3.98,156.44,7.54,0.13,225.1,3.34,24.13,90,0.06,16.63
"2022-06-24T19:00:00+00:00",18.5,5.14,170.29,8.49,0.14,224.7,3.32,24.13,78.92,0.33,16.47
"2022-06-24T21:00:00+00:00",18.49,7.47,197.98,13.14,0.16,229.2,3.29,24.13,90,0.03,16.47
"2022-06-24T22:00:00+00:00",18.49,7.64,208.23,13.5,0.16,232.3,3.08,24.13,270,0.02,16.13
"2022-06-25T02:00:00+00:00",17.35,7.58,233.79,12.99,0.46,217,2.52,24.13,270,0.04,15.23
"2022-06-25T03:00:00+00:00",17.36,7.38,236.33,12.99,0.53,209,2.57,24.13,270,0.04,15.03
"2022-06-25T03:00:00+00:00",17.36,7.38,236.33,12.99,0.53,209,2.57,24.13,270,0.04,15.03
"2022-06-25T04:00:00+00:00",17.38,7.23,233.77,12.58,0.6,202.8,2.67,24.13,270,0.03,14.68
"2022-06-25T06:00:00+00:00",17.41,6.93,228.66,12.57,0.73,198.5,2.92,24.14,90,0.04,14.43
"2022-06-25T07:00:00+00:00",17.42,6.72,223.76,12.64,0.81,196.9,3.04,24.14,90,0.07,14.58
"2022-06-25T09:00:00+00:00",17.44,6.87,206.97,11.58,0.97,194.3,3.29,24.14,90,0.05,15.29
"2022-06-25T10:00:00+00:00",17.45,6.81,200.78,11.99,1.05,196.3,3.44,24.14,90,0.01,15.61
"2022-06-25T12:00:00+00:00",17.47,6.68,188.39,11.57,1.15,202.8,3.61,24.13,270,0.07,15.61
"2022-06-25T13:00:00+00:00",17.49,6.31,180.58,10.77,1.13,205.4,3.64,24.13,270,0.06,15.84
"2022-06-25T15:00:00+00:00",17.51,5.56,164.96,12.08,1.02,207.5,3.55,24.14,270,0.04,16.4
"2022-06-25T16:00:00+00:00",17.52,5.33,171.95,9.14,0.97,207.9,3.46,24.14,270,0.04,16.64
"2022-06-25T18:00:00+00:00",17.54,4.88,185.94,12.66,0.89,210.7,3.34,24.13,90,0.01,15.91
"2022-06-25T19:00:00+00:00",17.56,5.07,194.98,10.71,0.83,211.4,3.33,24.14,276.32,0.23,15.5
"2022-06-25T21:00:00+00:00",17.58,5.44,213.06,11.76,0.72,213,3.41,24.14,90,0.07,14.51
"2022-06-25T22:00:00+00:00",17.59,5.64,213.12,10.58,0.69,215.9,3.42,24.14,90,0.04,14.14
"2022-06-26T02:00:00+00:00",18.27,7.06,214.04,10.96,0.46,233,3.3,24.13,270,0.04,13.82
"2022-06-26T03:00:00+00:00",18.32,7.56,214.44,11.71,0.46,231.8,3.16,24.13,270,0.04,13.91
"2022-06-26T04:00:00+00:00",18.37,7.75,212.88,12.09,0.47,228.9,3.03,24.13,270,0.03,14.12
"2022-06-26T06:00:00+00:00",18.46,8.14,209.77,12.75,0.52,223,2.95,24.14,270,0.02,14.21
"2022-06-26T07:00:00+00:00",18.5,8.02,209.09,12.41,0.57,221.8,3,24.14,90,0.05,14.4
"2022-06-26T09:00:00+00:00",18.57,7.77,207.72,12.73,0.65,222,3.12,24.13,90,0.07,15.25
"2022-06-26T10:00:00+00:00",18.6,7.75,206.61,12.24,0.69,223.8,3.19,24.14,90,0.05,15.52
"2022-06-26T12:00:00+00:00",18.67,6.37,208.61,11.23,0.75,226.8,3.27,24.14,270,0.07,16.18
"2022-06-26T13:00:00+00:00",18.7,5.79,205.16,11.12,0.76,227.4,3.32,24.14,270,0.07,16.31
"2022-06-26T15:00:00+00:00",18.76,4.62,198.26,8.95,0.73,226.5,3.34,24.13,270,0.05,16.6
"2022-06-26T16:00:00+00:00",18.8,4.17,194.03,7.81,0.71,224.9,3.29,24.13,270,0.05,16.7
"2022-06-26T18:00:00+00:00",18.85,3.26,185.56,5.96,0.68,220.2,3.17,24.13,270,0.03,16.58
"2022-06-26T19:00:00+00:00",18.88,3.23,184.26,5.39,0.69,219.8,3.17,24.13,26.57,0.01,16.29
